day,date,service_type,line,min_delay
Friday,2023-01-13T14:13:00Z,Regular,512,10
Friday,2023-01-13T15:04:00Z,Regular,511,7
Friday,2023-01-13T15:38:00Z,Regular,503,10
Friday,2023-01-13T15:54:00Z,Regular,504,5
Friday,2023-01-13T16:09:00Z,Regular,501,25
Friday,2023-01-13T17:48:00Z,Regular,511,7
Friday,2023-01-13T19:29:00Z,Regular,501,8
Friday,2023-01-13T21:00:00Z,Regular,501,6
Friday,2023-01-13T22:18:00Z,Regular,501,31
Friday,2023-01-13T23:27:00Z,Regular,506,6
Friday,2023-01-13T23:28:00Z,Regular,510,10
Friday,2023-01-13T23:36:00Z,Regular,501,6
Friday,2023-01-14T00:47:00Z,Regular,501,31
Friday,2023-01-14T01:17:00Z,Regular,504,10
Friday,2023-01-14T01:19:00Z,Regular,501,8
Friday,2023-01-14T01:28:00Z,Regular,501,8
Friday,2023-01-14T01:30:00Z,Regular,504,10
Friday,2023-01-14T02:47:00Z,Regular,504,12
Friday,2023-01-14T03:07:00Z,Regular,509,10
Friday,2023-01-14T03:33:00Z,Regular,504,10
Friday,2023-01-14T03:39:00Z,Regular,505,9
Friday,2023-01-13T06:09:00Z,Regular,505,9
Saturday,2023-01-14T07:03:00Z,Regular,510,9
Saturday,2023-01-14T07:12:00Z,Regular,504,17
Saturday,2023-01-14T08:31:00Z,Night,306,30
Saturday,2023-01-14T08:41:00Z,Night,301,30
Saturday,2023-01-14T11:58:00Z,Regular,504,24
Saturday,2023-01-14T13:17:00Z,Regular,504,10
Saturday,2023-01-14T14:54:00Z,Regular,504,8
Saturday,2023-01-14T17:07:00Z,Regular,501,6
Saturday,2023-01-14T18:50:00Z,Regular,504,10
Saturday,2023-01-14T19:23:00Z,Regular,501,45
Saturday,2023-01-14T20:07:00Z,Regular,512,35
Saturday,2023-01-14T20:19:00Z,Regular,506,11
Saturday,2023-01-14T20:48:00Z,Regular,504,10
Saturday,2023-01-14T20:52:00Z,Regular,506,13
